# Maltese frequency list derived from Maltese Wikipedia (CC BY-SA) + Tatoeba (CC BY 2.0 FR).
# Ranks are of folded forms (diacritics normalised), so `ġo` and `go` are one.
rank	word	count
926	abitanti	913
927	pont	913
928	fortizza	913
929	kaz	912
930	ajru	912
931	stil	912
932	gwann	911
933	flus	911
934	avvenimenti	910
935	qasam	909
936	mad	908
937	argentina	908
938	drittijiet	907
939	test	905
940	regina	904
941	kliem	903
942	madonna	903
943	moskea	903
944	rrikonoxxut	903
945	kostituzzjoni	902
946	polonja	901
947	du	898
948	cup	896
949	programm	895
950	majjistral	895
951	elezzjonijiet	894
952	kattolika	893
953	jilbes	893
954	hadd	890
955	align	889
956	juri	888
957	poter	888
958	arkeologici	887
959	ndash	887
960	kontinent	886
961	stadju	886
962	dawl	885
963	municipalita	885
964	score	883
965	imsejjah	881
966	latin	881
967	russu	881
968	federali	881
969	group	879
970	grigal	878
971	elett	877
972	germanizi	877
973	bin	874
974	fdin	873
975	turizmu	872
976	joseph	872
977	lbic	871
978	bid	870
979	sovjetika	870
980	titkellem	870
981	mahsub	869
982	kultant	868
983	waqa	866
984	moderna	865
985	residenti	865
986	dipartiment	865
987	ara	864
988	pjan	864
989	manchester	864
990	johrog	863
991	ispanjol	862
992	iswed	859
993	oljin	853
994	iben	851
995	xitwa	850
996	egittu	850
997	religjuzi	848
998	cittadini	848
999	lum	847
1000	istitut	847
1001	portugall	847
1002	izrael	846
1003	man	845
1004	gebla	845
1005	sede	844
1006	mi	843
1007	baxxi	843
1008	direttur	843
1009	gonna	843
1010	code	843
1011	stabbiliti	841
1012	aliases	840
1013	jinad	839
1014	format	839
1015	prodotti	838
1016	gnien	838
1017	un	838
1018	ue	837
1019	santwarju	837
1020	sezzjoni	836
1021	url	834
1022	alt	834
1023	inbena	832
1024	nar	831
1025	klassi	830
1026	mic	830
1027	jirrapprezenta	830
1028	avveniment	830
1029	dhul	829
1030	inbniet	829
1031	vi	828
1032	isfel	828
1033	marija	825
1034	trattat	824
1035	sema	824
1036	artisti	823
1037	disa	822
1038	robert	822
1039	wicc	821
1040	hut	821
1041	kristu	820
1042	zaza	817
1043	laab	817
1044	bikri	816
1045	mejda	816
1046	awdex	814
1047	zealand	814
1048	es	813
1049	stagun	812
1050	taljani	812
1051	fond	812
1052	difiza	811
1053	prezenti	811
1054	charles	811
1055	faccata	811
1056	goals	811
1057	ufficjalment	810
1058	nbena	810
1059	have	809
1060	bieb	809
1061	antiki	808
1062	arab	807
1063	jmorru	807
1064	rumana	807
1065	kwartieri	807
1066	artikli	804
1067	films	804
1068	juzaw	803
1069	precedenti	799
1070	ekonomika	799
1071	setu	798
1072	juru	797
1073	prezenza	796
1074	jaqra	796
1075	elementi	795
1076	ismijiet	795
1077	netwerk	794
1078	arlogg	791
1079	ukrajna	791
1080	rotta	789
1081	minbarra	788
1082	arkitettoniku	788
1083	pacifiku	788
1084	dritt	787
1085	gesu	786
1086	me	785
1087	hadu	784
1088	alkollox	784
1089	max	784
1090	telfa	782
1091	surmast	782
1092	partita	782
1093	kanzunetta	782
1094	inglizi	781
1095	punti	781
1096	bizzejjed	780
1097	kostali	780
1098	dieher	780
1099	industrijali	779
1100	ufficcju	779
1101	sigra	779
1102	mas	778
1103	attivitajiet	777
1104	pagni	777
1105	xorta	777
1106	problemi	775
1107	favur	774
1108	amerikana	774
1109	medjevali	773
1110	von	773
1111	nbnew	773
1112	pittura	772
1113	opossum	772
1114	attivita	771
1115	modern	771
1116	red	771
1117	th	770
1118	sehh	768
1119	vjagg	767
1120	jsir	766
1121	miz	765
1122	tipi	764
1123	normalment	764
1124	shah	764
1125	eventwalment	762
1126	kittieba	762
1127	awtorita	761
1128	protezzjoni	761
1129	reget	761
1130	marokk	761
1131	qasir	761
1132	match	761
1133	kolonjali	760
1134	hal	760
1135	tati	759
1136	xhieda	758
1137	ruhu	758
1138	partiti	758
1139	map	758
1140	tikkonsisti	758
1141	utype	758
1142	metro	757
1143	year	757
1144	bhalissa	756
1145	amministrazzjoni	756
1146	jid	756
1147	ex	756
1148	forza	755
1149	religjon	754
1150	pubblici	754
1151	trid	754
1152	algerija	754
1153	iran	754
1154	general	752
1155	state	752
1156	one	752
1157	thomas	752
1158	var	752
1159	pero	751
1160	litwanja	749
1161	suq	748
1162	mexxejja	748
1163	ocean	748
1164	david	746
1165	jisma	745
1166	error	742
1167	pjanta	742
1168	qalb	742
1169	monumentali	742
1170	qroll	742
1171	total	741
1172	vizitaturi	739
1173	fifa	739
1174	peru	738
1175	restawr	737
1176	bandiera	737
1177	wasslu	737
1178	annwali	736
1179	xatt	735
1180	ed	735
1181	difficli	735
1182	kilometri	735
1183	skola	734
1184	ezatt	734
1185	kwalunkwe	734
1186	professjonali	734
1187	komunitajiet	734
1188	appogg	733
